Organization Name,2019-20 Registration Form Completion Status,Number of Online Signatory Certification Completed (Need 4),Number of In-Person Orientation Attendees (Need 2) [Updated with attendance from 2/2/20],"""Eligibility Status for Spring 2020 Re-Registration 
(begins Jan. 6, 2020)""",Group's Registration Progress,Hyperlink to Org's Callink page,Group's LEAD Center Advisor
Curling Club at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/curlingclub,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Cycling Club of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/cyclingclubofberkeley,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
CyKorean,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/cykorean,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
D1abears,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/d1b,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Dance Board of Berkeley Dance Community,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DanceBoard,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Dance For All Bodies,Approved,4,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DanceforallbodiesBerkeley,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
Dance Junta,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dancejunta,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Dance Marathon,Inprogress,1,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/dancemarathon,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Dance Studies Working Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gadancestudiesworkinggroup,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Dance the Bay,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/dancethebay,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Danceworx,Approved,7,5,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/danceworx,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Dancing Rice!,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dancingrice,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Danza In Xochitl In Cuicatl,Inprogress,1,1,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/DanzaXochitalCuicatl,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Daraja at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DarajaatBerkeley,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Data Bears,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DB,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Data Science Collaborative at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/datasci,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Data Science for India at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/DataScienceforIndiaatBerkeley,LEAD Center Category: Professional Organization - Advised by Deepak Sharma
Data Science Society at Berkeley,Approved,8,6,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/dssberkeley,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Datamour,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/datamour,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
DataStory,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DataStory,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Datong Society of China Studies at Berkeley,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/datongsocietyofchinastudies,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
De Colores [Formerly Young Queers United for Empowerment],Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/youngqueersunitedforempowerment,"LEAD Center Category: Cultural & Identity/LGBTQ+ RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Dead Logicians' Society,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gadeadlogicianssociety,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Death and Life of Social Factors,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gadeathandlifeofsocialfactors,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Debate Society of Berkeley,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/BerkeleyDebate,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Debate Union at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/DebateUnion,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
DECA - Delta Epsilon Chi,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/deca,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
DeCadence,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/decadence,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Deep Foundations Institute,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gadeepfoundationsinstitute,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Deep Learning in Cafe,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/decafe,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Deewani,Approved,1,1,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/Deewani,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Delta Epsilon Mu Interest Group at Berkeley,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/deltaepsilonmu,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Delta Kappa Alpha,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/deltakappaalpha,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,Approved,9,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/deltaphiepsilon,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Delta Sigma Pi,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/deltasigmapi,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Democracy in Motion,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/democracy-in-motion,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Demographers of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dob,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Department of Integrative Biology Students,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DIBS,LEAD Center Category: Departmental RSO -  Advised by Deepak Sharma
Der Kreis,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/derkreis,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Derivatives Trading Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/DerivativesTradingGroup,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Design and Public Policy,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/designandpublicpolicy,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Design Engineering Collaborative,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/DEC,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Design For America,Inprogress,0,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/dfa,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Destino,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/destino,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
De-stress with Dogs,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/destresswithdogs,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Developer Collective at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/developercollectiveberkeley,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Development Solutions Organization (DSO),Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DSO,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
DeviantArt Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/deviantartclub,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
DiaKonos,Not Started,1,0,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/diakonos,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Digital Graphics and Animation,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/digitalgraphicsandanimation,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Digital Rights Project,Approved,5,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DigitalRightsProject,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Dil Se,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/dilse,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Direct Practice Role-Play Group,Approved,3,2,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/directpracticeroleplaygroup,LEAD Center Category: Academic RSO - Advised by Deepak Sharma
Disabled Law Student and Allies Association,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DisabledLawStudentandAllies,LEAD Center Category: Cultural & Identity/Cultural & Ethnic RSO - Advised by Alejandro Muro
Disc Golf Club,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/discgolfclub,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Disney Club at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/disneyclub,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Distance Running in Public Policy,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/distancerunninginpublicpolicy,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
DiversaTech,Approved,8,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DiversaTech,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Diverse Students for Change,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/diversestudentsforchange,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Diversified Agriculture Working Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gadawg,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Divine Youth Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/DYA,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Do It Yourself,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/diy,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Do Something,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dosomething,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Doctor of Public Health Student Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gadoctorofpublichealthstudentgroup,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Doctoral Business Students Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dbsa,LEAD Center Category: Academic Organizations - Advised by Deepak Sharma
Doctors Without Borders at Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/BerkeleyMSF,LEAD Center Category: Service RSO - Advised by Millicent Morris-Chaney
Documentary Film of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/documentaryfilmofberkeley,LEAD Center Category: Media & Film RSO - Advised by Deepak Sharma [Interim]
Domestic Violence Support Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/domesticviolencesupportgroup,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Donate Life at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/DonateLifeatBerkeley,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Down Syndrome Community Outreach at Berkeley,Approved,3,2,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/dscob,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Dr. Interns,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/drinterns,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Dramatists' Guild of California,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dramatistsguildofcalifornia,"LEAD Center Category: Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Drawn to Scale,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/drawntoscale,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
DREAM Campus Ministry,Approved,7,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DREAMcampusministry,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
DreamCatchers at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dreamcatchers,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Dreamers Project Mentorship Program,Approved,4,1,Eligible,FROZEN GROUP PENDING COMPLETION OF STEPS - ELIGIBLE Spring 2020,https://callink.berkeley.edu/actioncenter/organization/dreamersproject,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Drug Policy Alliance of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/drugpolicyalliance,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
"Drum Circle at Berkeley, The",Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/drumcircle,"LEAD Center Category: Performing Arts RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
DSTAY,Not Started,0,0,Eligible,NEW ORG PENDING FINAL COMPLETION OF APPROVAL STEPS,https://callink.berkeley.edu/actioncenter/organization/dstay,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
DULCE (Diabetes: Unidos Logaremos Controlar Esta Enfermedad),Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/dulce,"LEAD Center Category: Health & Wellness RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Dutch Student Association at Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DutchStudentAssociationatBerkeley,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
Dwinelle Hall Breakers,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/DwinelleHallBreakers,"LEAD Center Category: Recreational RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
Earthquake Engineering Research Institute at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eeri,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
East Asian General Member Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eastasiangeneralmemberassociation,"LEAD Center Category: Cultural & Identity/International RSO - For questions, contact the LEAD Center: lead@berkeley.edu, 432 Eshleman"
East Asian Languages & Cultures Undergraduate Student Association,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eastasianlanguagesandcultureundergradstudentassn,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
East Asian Union,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eastasianunion,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
East Bay  Community Builders,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eastbaycommunitybuilders,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
East Bay Business and Medical Translation Association,Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EastBayBusMedTranslationAssn,LEAD Center Category: Service RSO - Advised by Millicent Morris Chaney
East Bay Community Law Center Steering Committee,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/gaeastbaycommunitylawcenter,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
East Bay Dreamers Project,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eastbaydreamerclinic,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
East Bay Jacobin Reading Group,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/EastBayJacobinReadingGroup,LEAD Center Category: Political & Advocacy RSO - Advised by Millicent Morris Chaney
East Coast Student Union,Approved,5,4,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eastcoaststudentunion,LEAD Center Category: Cultural & Identity/International RSO - Advised by Alejandro Muro
ecode,Approved,7,3,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/NA,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Ecology Law Quarterly,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/ecologylawquarterly,LEAD Center Category: Publications RSO - Advised by Millicent Morris Chaney [Interim]
Economists at Berkeley,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EconomistsatBerkeley,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Edge Interns at Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/edgeinterns,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Educate!,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/educate,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Education for All,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/educationforall,LEAD Center Category: Political & Advocacy RSO -  Advised by Millicent Morris Chaney
Education Initiative for Development,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/educationinitiativefordevelopment,LEAD Center Category: Service Organization - Advised by Millicent Morris Chaney
Education Practitioners and Innovators of China at Berkeley,Approved,6,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EPIC_at_Berkeley,LEAD Center Category: Professional RSO - Advised by Deepak Sharma
Education Undergraduates,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/educationundergraduates,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
Educational Alliance of Berkeley,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/educationalalliance,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
Educational Opportunity Program STEM Mentorship Program,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/eopstem,LEAD Center Category: Technology RSO - Advised by Deepak Sharma [Interim]
Educators for a Critical Pedagogy,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/educatorsforacriticalpedagogy,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
EECS Graduate Student League,Approved,4,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eecsgraduatestudentleague,LEAD Center Category: Academic RSO -  Advised by Deepak Sharma
EFC Chinese Fellowship,Not Started,0,0,Not Eligible,FROZEN GROUP PENDING COMPLETION OF REGISTRATION STEPS - NOT ELIGIBLE til Fall 2020,https://callink.berkeley.edu/actioncenter/organization/efcchinesefellowship,LEAD Center Category: Spiritual RSO -  Advised by Deepak Sharma
Effective Altruists of Berkeley,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/EAB,LEAD Center Category: Professional RSO -  Advised by Deepak Sharma
Eggster Organization,Approved,5,2,,Registered Student Organizations,https://callink.berkeley.edu/actioncenter/organization/eggsterscommittee,LEAD Center Category: Service RSO -  Advised by Millicent Morris Chaney
